ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m, fX, fY, fZ
0, 1.42413, 9.81537, 0.740225, 1.49061, -0.160377, 2.93095, 2981.22, -320.755, 5861.91, 1, -2981.22, 310.945, -5861.91
1, 7.70147, 3.67974, 7.39331, 0.276598, -0.944126, 0.44352, 553.197, -1888.25, 887.04, 1, -553.197, 1878.44, -887.04
2, 7.77736, 3.38262, 4.33791, 0.333376, -0.142566, -0.378731, 666.752, -285.131, -757.462, 1, -666.752, 275.321, 757.462
3, 5.0521, 9.07484, 9.40372, 0.0351271, 2.08907, 1.30312, 70.2543, 4178.14, 2606.25, 1, -70.2543, -4187.95, -2606.25
4, 7.52104, 6.1741, 8.50032, -0.0201859, 0.0944489, 0.247172, -40.3718, 188.898, 494.345, 1, 40.3718, -198.708, -494.345
5, 5.79227, 0.762951, 5.14212, -1.86162, -8.31133, 19.2289, -3723.23, -16622.7, 38457.8, 1, 3723.23, 16612.9, -38457.8
6, 9.26848, 6.0366, 2.57229, 30.7609, -6.27153, -2.34266, 61521.8, -12543.1, -4685.32, 1, -61521.8, 12533.3, 4685.32
7, 5.81562, 0.049429, 0.21937, -5.13615, 1.72085, -1.28448, -10272.3, 3441.71, -2568.96, 1, 10272.3, -3451.52, 2568.96
8, 8.90575, 1.33685, 7.57923, -1.94783, -1.14408, -0.537025, -3895.66, -2288.16, -1074.05, 1, 3895.66, 2278.35, 1074.05
9, 8.45952, 6.61016, 0.0512494, 17.9588, -3.54613, 37.3288, 35917.6, -7092.25, 74657.7, 1, -35917.6, 7082.44, -74657.7
10, 8.11533, 6.83876, 6.52969, 0.181406, 0.0243429, -0.33015, 362.812, 48.6858, -660.299, 1, -362.812, -58.4958, 660.299
11, 5.5926, 5.97931, 2.00891, 2.18843, -0.302451, 0.592218, 4376.86, -604.901, 1184.44, 1, -4376.86, 595.091, -1184.44
12, 9.3663, 4.23901, 3.65261, -1.43237, -0.324475, -1.4156, -2864.74, -648.951, -2831.2, 1, 2864.74, 639.141, 2831.2
13, 9.75354, 7.35396, 6.50246, 0.0895287, -0.00789737, -0.199288, 179.057, -15.7947, -398.577, 1, -179.057, 5.98474, 398.577
14, 6.65465, 7.57158, 1.72715, 1.78286, -20.8484, -44.4192, 3565.72, -41696.8, -88838.3, 1, -3565.72, 41686.9, 88838.3
15, 8.54669, 8.69875, 0.375373, 297.94, 102.566, -73.8521, 595880, 205131, -147704, 1, -595880, -205141, 147704
16, 4.72646, 1.82984, 4.31688, 0.947463, 0.46007, -0.153198, 1894.93, 920.139, -306.396, 1, -1894.93, -929.949, 306.396
17, 9.08262, 5.36847, 0.669194, -37.8837, -11.7429, 39.3376, -75767.4, -23485.8, 78675.3, 1, 75767.4, 23476, -78675.3
18, 7.032, 4.31934, 7.01718, 371.606, 7.93965, 255.031, 743213, 15879.3, 510061, 1, -743213, -15889.1, -510061
19, 8.18941, 1.84786, 7.80841, -1.96261, -0.479977, 1.2743, -3925.21, -959.954, 2548.6, 1, 3925.21, 950.144, -2548.6
20, 7.02827, 0.590298, 0.97124, -3.39934, -1.13394, -3.80999, -6798.69, -2267.87, -7619.98, 1, 6798.69, 2258.06, 7619.98
21, 1.53853, 5.44923, 1.05493, -0.542901, -0.425622, -0.73019, -1085.8, -851.244, -1460.38, 1, 1085.8, 841.434, 1460.38
22, 9.41582, 1.73528, 5.40609, 14.8255, 10.0182, 15.9414, 29651, 20036.4, 31882.7, 1, -29651, -20046.2, -31882.7
23, 6.46768, 9.79535, 7.40064, 6.0665, 12.5743, 0.956819, 12133, 25148.6, 1913.64, 1, -12133, -25158.4, -1913.64
24, 8.94407, 5.07497, 7.79617, 5.83035, 5.16668, -5.16752, 11660.7, 10333.4, -10335, 1, -11660.7, -10343.2, 10335
25, 6.58774, 4.64375, 9.94306, -1.75537, 0.383343, -1.00347, -3510.75, 766.686, -2006.94, 1, 3510.75, -776.496, 2006.94
26, 4.5865, 7.15429, 6.45342, 1.29235, 10.4024, 5.03196, 2584.71, 20804.7, 10063.9, 1, -2584.71, -20814.5, -10063.9
27, 9.8536, 5.55672, 8.49198, 100.624, 26.0306, 115.141, 201248, 52061.2, 230282, 1, -201248, -52071, -230282
28, 9.52998, 2.01758, 7.48636, 0.278664, -0.0770386, 0.259193, 557.329, -154.077, 518.386, 1, -557.329, 144.267, -518.386
29, 7.98281, 5.3592, 5.73465, -4.38131, -8.64119, -5.91769, -8762.63, -17282.4, -11835.4, 1, 8762.63, 17272.6, 11835.4
30, 1.78027, 1.17322, 2.09595, 189.332, 30.5794, -193.921, 378664, 61158.7, -387842, 1, -378664, -61168.5, 387842
31, 2.11583, 7.07807, 5.90852, 2.08115, -2.19929, 4.59865, 4162.31, -4398.58, 9197.3, 1, -4162.31, 4388.77, -9197.3
32, 0.9965, 5.02886, 4.74777, -1.96511, -1.57124, 1.09906, -3930.23, -3142.47, 2198.12, 1, 3930.23, 3132.66, -2198.12
33, 4.63754, 3.47709, 0.0276318, -11.4769, 7.14008, -25.3811, -22953.7, 14280.2, -50762.1, 1, 22953.7, -14290, 50762.1
34, 4.6924, 2.47402, 8.17827, 0.0819365, 0.0927697, 0.0951206, 163.873, 185.539, 190.241, 1, -163.873, -195.349, -190.241
35, 9.0812, 6.28623, 3.82138, -4.99129, 12.7336, 22.9862, -9982.58, 25467.2, 45972.4, 1, 9982.58, -25477, -45972.4
36, 0.0401816, 8.83453, 2.97277, -0.505151, -0.141514, 0.259162, -1010.3, -283.027, 518.324, 1, 1010.3, 273.217, -518.324
37, 1.08821, 3.91331, 3.89436, -2.97284, -1.04097, -2.45162, -5945.69, -2081.95, -4903.23, 1, 5945.69, 2072.14, 4903.23
38, 3.68749, 8.11115, 3.74027, 3.80254, -1.26684, -2.31694, 7605.07, -2533.68, -4633.88, 1, -7605.07, 2523.87, 4633.88
39, 4.9198, 8.16777, 9.80901, -12.1717, -1.28991, 4.85265, -24343.3, -2579.82, 9705.31, 1, 24343.3, 2570.01, -9705.31
